InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Region,SpotPrice,Price,AvailabilityZone,GpuInfo
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-WA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-CA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-CA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
7x_RTX4000-Ada_SECURE,RTX4000-Ada,7.0,56.0,329.0,US,1.82,1.82,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 140}"
